pregunta,respuesta,palabrasRelacionadas
"¿Cuál es el precio del Renault Sandero?","El precio del Renault Sandero comienza en $14,000 USD.","precio, costo"
"¿Qué versiones del Renault Sandero están disponibles?","Las versiones disponibles son Life, Zen e Intens.","versiones, modelos"
"¿Cuál es el rendimiento de combustible del Renault Sandero?","El rendimiento de combustible es de aproximadamente 15 km/l en ciudad y 19 km/l en carretera.","rendimiento, combustible"
"¿El Renault Sandero tiene transmisión automática?","Sí, algunas versiones del Renault Sandero vienen con transmisión automática.","transmisión, automática"
"¿Cuántos pasajeros pueden viajar en el Renault Sandero?","El Renault Sandero puede transportar hasta 5 pasajeros.","pasajeros, capacidad"
"¿Qué tipo de motor tiene el Renault Sandero?","El Renault Sandero está equipado con un motor de 1.6L, 4 cilindros.","motor, cilindros"
"¿Qué características de seguridad tiene el Renault Sandero?","El Renault Sandero cuenta con airbags, ABS, y control de estabilidad.","seguridad, airbags"
"¿El Renault Sandero tiene sistema de entretenimiento?","Sí, tiene un sistema de entretenimiento con pantalla táctil y conectividad Bluetooth.","entretenimiento, pantalla"
"¿Cuál es el espacio de carga del Renault Sandero?","El Renault Sandero tiene un espacio de carga de 320 litros.","espacio, carga"
"¿El Renault Sandero tiene garantía?","Sí, viene con una garantía de 5 años o 100,000 km.","garantía, años"
"¿Puedo financiar la compra del Renault Sandero?","Sí, ofrecemos opciones de financiamiento para el Renault Sandero.","financiamiento, opciones"
"¿Dónde puedo probar el Renault Sandero?","Puedes probar el Renault Sandero en cualquier concesionario Renault autorizado.","prueba, concesionario"
"¿Cuáles son los colores disponibles para el Renault Sandero?","Los colores disponibles incluyen blanco, negro, rojo, azul y gris.","colores, opciones"
"¿El Renault Sandero tiene aire acondicionado?","Sí, todas las versiones del Renault Sandero vienen con aire acondicionado.","aire acondicionado, clima"
"¿Qué tipo de llantas usa el Renault Sandero?","El Renault Sandero usa llantas de 15 pulgadas.","llantas, pulgadas"
"¿El Renault Sandero tiene frenos ABS?","Sí, el Renault Sandero está equipado con frenos ABS.","frenos, ABS"
"¿Cuál es la velocidad máxima del Renault Sandero?","La velocidad máxima del Renault Sandero es de aproximadamente 170 km/h.","velocidad, máxima"
"¿El Renault Sandero tiene cámara de reversa?","Sí, algunas versiones del Renault Sandero vienen con cámara de reversa.","cámara, reversa"
"¿Qué tipo de combustible usa el Renault Sandero?","El Renault Sandero usa gasolina.","combustible, gasolina"
"¿El Renault Sandero tiene sistema de navegación?","Sí, algunas versiones tienen un sistema de navegación integrado.","navegación, GPS"
"¿Cuántos airbags tiene el Renault Sandero?","El Renault Sandero tiene 4 airbags: dos frontales y dos laterales.","airbags, seguridad"
"¿Cuál es la capacidad del tanque de combustible del Renault Sandero?","El tanque de combustible tiene una capacidad de 50 litros.","tanque, capacidad"
"¿El Renault Sandero tiene luces LED?","Sí, algunas versiones vienen equipadas con luces LED.","luces, LED"
"¿Qué tipo de transmisión tiene el Renault Sandero?","El Renault Sandero está disponible con transmisión manual y automática.","transmisión, manual"
"¿El Renault Sandero tiene asistente de arranque en pendientes?","Sí, el Renault Sandero cuenta con asistente de arranque en pendientes.","asistente, arranque"
"¿Cuáles son las dimensiones del Renault Sandero?","El Renault Sandero tiene una longitud de 4,068 mm, un ancho de 1,733 mm y una altura de 1,519 mm.","dimensiones, tamaño"
"¿El Renault Sandero tiene control de crucero?","Sí, algunas versiones del Renault Sandero tienen control de crucero.","crucero, control"
"¿Cuáles son los costos de mantenimiento del Renault Sandero?","Los costos de mantenimiento varían, pero los servicios básicos son accesibles.","mantenimiento, costos"
"¿El Renault Sandero tiene sensor de estacionamiento?","Sí, algunas versiones tienen sensores de estacionamiento traseros.","sensor, estacionamiento"
"¿El Renault Sandero tiene conectividad Android Auto y Apple CarPlay?","Sí, el sistema de entretenimiento soporta Android Auto y Apple CarPlay.","conectividad, Android, Apple"
